ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005022101,16,4001,1136,2969,34,793,114,45,46,Mount Eden-Claremont (West)
36005022102,16,5457,1611,4609,53,660,38,54,43,Mount Eden-Claremont (West)
36005022200,18,3968,1010,1891,176,416,1277,111,97,Parkchester
36005022300,16,5063,1170,4053,74,772,34,65,65,Mount Eden-Claremont (West)
36005022401,13,2787,599,1805,333,365,208,25,51,Pelham Parkway-Van Nest
36005022403,13,3275,706,2145,414,518,116,16,66,Pelham Parkway-Van Nest
36005022404,13,4489,956,2383,742,825,375,76,88,Pelham Parkway-Van Nest
36005022500,16,8141,2394,5717,126,2042,90,82,84,Mount Eden-Claremont (West)
36005022701,14,5669,1527,3574,65,1838,57,70,65,Mount Hope
36005022702,16,1634,395,1106,35,373,44,39,37,Mount Eden-Claremont (West)
36005022703,15,1699,387,1278,39,236,95,20,31,Mount Eden-Claremont (West)
36005022800,13,6336,1409,3284,1188,922,744,91,107,Pelham Parkway-Van Nest
36005022901,14,5766,1626,3844,125,1370,216,98,113,Mount Hope
36005022902,15,3401,893,2499,48,747,35,29,43,Mount Eden-Claremont (West)
36005023000,13,3001,797,1627,549,371,262,43,149,Pelham Parkway-Van Nest
36005023100,15,1464,377,1011,11,423,2,10,7,Mount Hope
36005023200,13,3000,777,1460,695,325,317,43,160,Pelham Parkway-Van Nest
