ed,cd,hochul,zeldin,gov_votes,voters_nov22
23050,32,90.0,111.0,202.0,613.0
23051,32,207.0,142.0,351.0,1114.0
23052,32,139.0,76.0,218.0,663.0
23053,32,208.0,149.0,364.0,1729.0
23054,32,219.0,138.0,361.0,1687.0
23055,32,57.0,64.0,121.0,618.0
23056,32,82.0,86.0,169.0,600.0
23057,32,106.0,92.0,199.0,998.0
23058,32,81.0,309.0,391.0,702.0
23059,32,73.0,308.0,384.0,652.0
23060,32,167.0,251.0,421.0,1211.0
23061,32,4.0,8.0,12.0,42.0
23062,32,249.0,215.0,469.0,1527.0
23200,31,0.0,0.0,0.0,
23201,32,0.0,0.0,0.0,
23202,32,0.0,0.0,0.0,
23203,31,0.0,0.0,0.0,
23204,31,0.0,0.0,0.0,
23205,32,0.0,0.0,0.0,
23206,31,0.0,0.0,0.0,
23207,31,0.0,0.0,0.0,
23208,32,0.0,0.0,0.0,
23209,32,0.0,0.0,0.0,
23210,32,0.0,0.0,0.0,
23211,32,0.0,0.0,0.0,
23212,32,0.0,0.0,0.0,
23213,,0.0,0.0,0.0,
23214,,0.0,0.0,0.0,
23215,,0.0,0.0,0.0,
23216,,0.0,0.0,0.0,
23217,,0.0,0.0,0.0,
23218,,0.0,0.0,0.0,
23219,,0.0,0.0,0.0,
23220,31,0.0,0.0,0.0,
23221,32,0.0,0.0,0.0,
23222,,0.0,0.0,0.0,
23223,32,0.0,0.0,0.0,
23224,,0.0,0.0,0.0,
23225,,0.0,0.0,0.0,
23226,,0.0,0.0,0.0,
23227,,0.0,0.0,0.0,
23228,,0.0,0.0,0.0,
23229,,0.0,0.0,0.0,
23230,,0.0,0.0,0.0,
23231,,0.0,0.0,0.0,
23232,,0.0,0.0,0.0,
23233,,0.0,0.0,0.0,
23234,31,0.0,0.0,0.0,
23235,,0.0,0.0,0.0,
23236,,0.0,0.0,0.0,
23237,31,0.0,0.0,0.0,
23238,32,0.0,0.0,0.0,
23239,32,0.0,0.0,0.0,
23240,32,0.0,0.0,0.0,
23241,32,0.0,0.0,0.0,
23242,32,0.0,0.0,0.0,
24001,28,92.0,35.0,129.0,602.0
24002,28,102.0,60.0,165.0,655.0
24003,28,232.0,126.0,360.0,1524.0
24004,28,189.0,113.0,302.0,1314.0
24005,28,153.0,80.0,238.0,1150.0
24006,29,230.0,131.0,368.0,1699.0
24007,28,238.0,116.0,357.0,1566.0
24008,29,162.0,69.0,232.0,1172.0
24009,28,249.0,96.0,349.0,1594.0
24010,28,68.0,4.0,72.0,268.0
24011,29,215.0,116.0,335.0,1597.0
24012,29,135.0,63.0,199.0,935.0
24013,29,189.0,64.0,254.0,1291.0
24014,29,198.0,105.0,304.0,1554.0
24015,29,120.0,73.0,195.0,1230.0
24016,29,12.0,4.0,17.0,91.0
24017,24,51.0,15.0,68.0,225.0
24018,29,143.0,85.0,231.0,852.0
24019,29,191.0,97.0,291.0,1425.0
24020,29,347.0,261.0,620.0,1572.0
24021,29,150.0,168.0,324.0,817.0
24022,23,29.0,43.0,73.0,162.0
24023,24,0.0,0.0,0.0,2.0
24024,29,201.0,220.0,427.0,1228.0
24025,29,83.0,59.0,146.0,503.0
24026,29,153.0,73.0,231.0,1000.0
24027,24,111.0,44.0,157.0,587.0
24028,29,138.0,103.0,241.0,604.0
24029,29,212.0,83.0,300.0,1422.0
24030,24,185.0,107.0,298.0,960.0
24031,29,234.0,198.0,441.0,1507.0
24032,29,182.0,82.0,271.0,1507.0
24033,23,8.0,18.0,26.0,43.0
24034,24,31.0,5.0,37.0,113.0
24035,24,95.0,50.0,146.0,647.0
24036,24,359.0,145.0,513.0,1749.0
24037,24,114.0,44.0,158.0,889.0
24038,24,432.0,143.0,578.0,1664.0
24039,24,281.0,162.0,445.0,1292.0
24040,24,135.0,59.0,194.0,782.0
24041,24,145.0,100.0,249.0,945.0
24042,24,117.0,46.0,165.0,585.0
24043,24,252.0,128.0,388.0,1443.0
24044,24,155.0,40.0,196.0,773.0
24045,24,61.0,19.0,80.0,233.0
24046,24,518.0,163.0,687.0,1784.0
24047,24,411.0,160.0,580.0,1495.0
24048,24,124.0,79.0,206.0,493.0
24049,24,233.0,605.0,842.0,1783.0
24050,23,81.0,167.0,250.0,516.0
24051,23,389.0,256.0,650.0,1667.0
24052,23,506.0,189.0,697.0,1706.0
24053,23,617.0,92.0,717.0,1746.0
24054,23,70.0,25.0,95.0,296.0
24055,23,262.0,70.0,334.0,1065.0
24056,23,391.0,192.0,587.0,1260.0
24057,23,263.0,134.0,399.0,1037.0
24058,23,317.0,381.0,701.0,1252.0
24059,23,336.0,285.0,627.0,1166.0
24060,23,513.0,422.0,943.0,1750.0
24061,23,462.0,301.0,771.0,1631.0
24062,23,481.0,364.0,854.0,1605.0
24063,23,219.0,168.0,392.0,725.0
24064,23,304.0,309.0,619.0,1507.0
24065,24,353.0,129.0,491.0,1644.0
24200,24,0.0,0.0,0.0,
24201,23,0.0,0.0,0.0,
24202,23,0.0,0.0,0.0,
24203,23,0.0,0.0,0.0,
24204,24,0.0,0.0,0.0,
24205,23,0.0,0.0,0.0,
